int_id,200907,200910,201001,201004,201007,201010,201101,201104,201107,201110,201201,201204,201207,201210,201301,201304,201307,201310,201401,201404,201407,201410,201501,201504,201507,201510,201602,201606,201610,201702,201706,201710,201802,201806,201810,201902,201906,201910,202002,202006,202010,202102,202106,202110,202202,202206,202210,202302,202306,202310
11,1,1,0,6,11,1,0,2,2,1,2,1,1,0,3,6,10,13,4,7,8,5,3,2,0,0,0,0,1,2,4,0,1,0,2,0,1,4,3,0,0,8,1,0,0,6,16,4,6,10
12,0,0,1,2,1,6,2,0,0,0,1,0,0,0,0,0,2,1,3,3,5,1,1,1,1,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,1,0,11,1,3,3
13,1,1,1,0,0,1,1,1,0,0,0,0,0,1,0,0,0,0,1,5,8,5,5,9,11,11,10,10,9,1,0,5,0,0,0,4,0,2,0,1,1,0,1,0,0,2,2,0,1,7
14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,1,3,1,0,0,0,4,9,5,5,2,0,2,5,6,1,0,0,3,2,3,2,4,3,3,1,2,0,1,0,1,1,3,1,4
16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
17,1,1,0,1,1,0,0,0,0,1,1,2,1,0,2,2,3,2,2,13,17,9,16,10,5,8,7,11,3,7,4,12,8,1,4,1,5,1,2,3,4,15,6,21,14,11,9,14,11,10
18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
19,2,1,0,3,3,1,0,0,0,2,2,11,18,13,17,31,21,17,9,23,26,9,11,22,17,18,7,16,20,9,5,11,7,11,14,7,14,21,0,4,4,28,42,33,24,13,9,13,8,17
20,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,0,0,3,4,4,3,0,0,0,0,2,1,9,3,0,1,3,1,2,0,3,1,0,2,0,0,1,0,0,0,0
21,104,91,111,209,232,220,148,126,161,126,131,160,195,195,196,237,335,341,231,240,235,224,171,150,146,124,126,189,138,151,213,201,174,241,217,217,211,162,132,175,112,145,142,117,155,168,173,184,148,113
22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24,0,0,0,0,0,0,0,0,4,3,1,0,0,0,0,0,0,0,0,0,0,0,1,2,3,1,1,2,2,2,2,2,2,2,2,0,0,1,1,0,1,1,0,0,0,2,1,0,2,1
25,3,8,16,30,22,45,22,7,21,21,15,13,11,7,31,39,29,27,19,15,5,24,32,32,18,8,16,30,28,36,28,51,52,54,23,39,25,21,42,22,9,18,11,9,15,11,11,23,13,13
26,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
27,0,1,0,0,0,0,0,0,2,2,1,5,8,2,1,1,3,1,1,1,0,4,0,1,2,0,0,2,3,3,2,8,9,3,4,3,5,1,5,7,0,4,2,3,2,4,0,0,0,2
28,0,0,0,2,5,1,0,1,2,3,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,2,0,1,0,0,0,2,2,0,0,2,0,0,0,3,1,0,0,1,0,0,0,0,0
29,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
